litter_id,dam_id,grid,food,year,litter_size,litter_fit,part,fieldBDate,n1_date,n2_date,mean_growth,byear,dam_age,num_trees,cone_counts,cone_index,mast,EXP,Exp_label,prev_year,cone_index_tm1,mast_tm1,local_density
1,11059,AG,1,2013,4,0,67,2013-03-08,70,NA,NA,2009,4,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
2,11926,AG,1,2013,3,2,75,2013-03-16,76,100,1.758333333,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
3,10613,AG,1,2013,4,0,84,2013-03-25,84,NA,NA,2009,4,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
4,13215,AG,1,2013,3,0,85,2013-03-26,85,NA,NA,2011,2,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
5,11101,AG,1,2013,4,0,84,2013-03-25,86,110,1.959375,2009,4,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
6,12605,AG,1,2013,3,0,85,2013-03-26,86,111,1.762666666,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
7,11738,AG,1,2013,3,2,89,2013-03-30,91,114,2.930436666,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
8,11921,AG,1,2013,3,1,90,2013-03-31,91,114,1.90725,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
9,11686,AG,1,2013,4,2,89,2013-03-30,92,114,2.429545,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
10,12558,AG,1,2013,4,1,91,2013-04-01,92,116,1.465625,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
11,10270,AG,1,2013,3,1,93,2013-04-03,93,118,2.086,2007,6,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
12,11817,AG,1,2013,4,2,87,2013-03-28,89,112,1.9347825,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
13,11375,JO,0,2013,3,0,96,2013-04-06,96,120,1.515276666,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
14,12318,JO,0,2013,2,2,95,2013-04-05,96,119,1.73261,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
15,11737,AG,1,2013,4,1,95,2013-04-05,96,119,2.2097825,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
16,12607,AG,1,2013,4,0,95,2013-04-05,97,119,2.1795475,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
17,12476,AG,1,2013,3,1,93,2013-04-03,97,117,2.845,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
18,11711,AG,1,2013,3,1,95,2013-04-05,97,119,1.97273,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
19,12554,AG,1,2013,3,1,99,2013-04-09,99,124,1.849333333,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
20,12700,JO,0,2013,4,0,100,2013-04-10,100,126,0.9442325,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
21,12647,AG,1,2013,1,0,98,2013-04-08,100,124,3.12917,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
22,12731,AG,1,2013,3,2,99,2013-04-09,100,124,1.65278,2011,2,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
23,12722,AG,1,2013,4,2,97,2013-04-07,102,124,2.2181825,2011,2,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
24,11118,AG,1,2013,4,1,103,2013-04-13,103,128,1.416,2009,4,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
25,11685,AG,1,2013,4,0,102,2013-04-12,103,NA,NA,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
26,12074,AG,1,2013,4,0,102,2013-04-12,103,NA,NA,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
27,12770,AG,1,2013,3,0,101,2013-04-11,103,126,1.931886666,2011,2,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
28,12928,AG,1,2013,3,0,102,2013-04-12,104,127,2.517393333,2011,2,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
29,12604,AG,1,2013,3,0,102,2013-04-12,104,129,2.84,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
30,10895,AG,1,2013,3,1,105,2013-04-15,105,129,1.67361,2009,4,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
31,12082,AG,1,2013,3,1,97,2013-04-07,105,120,2.982223333,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
32,12183,AG,1,2013,4,1,104,2013-04-14,105,129,1.9447925,2011,2,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
33,12586,AG,1,2013,3,2,104,2013-04-14,105,129,1.736113333,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
34,10422,JO,0,2013,3,1,104,2013-04-14,105,129,1.466666666,2007,6,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
35,11049,JO,0,2013,4,0,103,2013-04-13,105,NA,NA,2009,4,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
36,11726,JO,0,2013,4,0,103,2013-04-13,103,128,1.461333333,2011,2,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
37,11720,JO,0,2013,3,1,104,2013-04-14,106,129,1.599996666,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
38,11965,JO,0,2013,2,1,99,2013-04-09,106,124,1.63611,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
39,10321,JO,0,2013,1,0,105,2013-04-15,106,129,2.12174,2007,6,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
40,12357,JO,0,2013,4,1,106,2013-04-16,107,132,1.484,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
41,12528,JO,0,2013,1,0,105,2013-04-15,107,129,1.96818,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
42,13023,AG,1,2013,2,2,108,2013-04-18,109,133,1.985415,2011,2,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
43,10654,SU,0,2013,2,1,106,2013-04-16,109,132,1.40652,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.8391237868396793
44,13257,AG,1,2013,2,0,107,2013-04-17,109,132,1.19565,2012,1,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
45,12180,SU,0,2013,3,0,108,2013-04-18,109,NA,NA,2011,2,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.1317684842090334
46,11794,JO,0,2013,3,0,108,2013-04-18,109,134,2.024,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
47,11934,AG,1,2013,3,1,91,2013-04-01,109,118,2.662963333,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
48,13425,JO,0,2013,3,1,109,2013-04-19,110,134,1.779163333,2011,2,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
49,11875,JO,0,2013,3,0,109,2013-04-19,110,134,1.818056666,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
50,11897,KL,0,2013,4,0,110,2013-04-20,110,NA,NA,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,0.7073553026306458
51,11527,JO,0,2013,4,0,109,2013-04-19,110,134,1.3114575,2009,4,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
52,10233,JO,0,2013,3,0,109,2013-04-19,110,NA,NA,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
53,11619,KL,0,2013,3,0,110,2013-04-20,111,134,2.15435,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,NA
54,10650,AG,1,2013,2,0,108,2013-04-18,111,NA,NA,2008,5,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
55,19246,AG,1,2013,3,2,109,2013-04-19,111,133,1.754543333,2012,1,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
56,10526,JO,0,2013,4,1,109,2013-04-19,111,135,1.547223333,2009,4,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
57,12535,AG,1,2013,4,0,107,2013-04-17,112,140,1.71667,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
58,12606,AG,1,2013,4,0,112,2013-04-22,112,138,1.3586525,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
59,12462,SU,0,2013,3,0,111,2013-04-21,112,135,1.982606666,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.1317684842090334
60,11678,JO,0,2013,4,0,81,2013-03-22,113,NA,NA,2010,3,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
61,12846,JO,0,2013,2,2,112,2013-04-22,113,138,1.938,2011,2,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
62,12095,AG,1,2013,3,0,111,2013-04-21,113,138,1.706666666,2010,3,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
63,13659,AG,1,2013,3,0,110,2013-04-20,111,NA,NA,2007,6,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
64,11943,SU,0,2013,3,0,111,2013-04-21,113,136,1.6971,2010,3,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,0.5658842421045167
65,10918,SU,0,2013,3,0,113,2013-04-23,113,NA,NA,2009,4,1712,20.6265,2.06010515786152,0,c,1,2012,0.9294123385841184,0,1.4147106052612917
66,10046,KL,0,2013,4,1,113,2013-04-23,114,140,1.076923333,2010,3,3932,46.8095,2.5860665071420628,0,c,1,2012,2.2622455455081254,0,1.7683882565766147
67,11041,JO,0,2013,3,0,108,2013-04-18,NA,138,NA,2009,4,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
68,12186,AG,1,2013,3,3,112,2013-04-22,116,141,1.656,2011,2,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
69,12157,AG,1,2013,3,0,111,2013-04-21,116,136,1.046666666,2011,2,2064,16.512,1.459180287137882,0,f,19,2012,1.2055019380943641,0,NA
70,13203,JO,0,2013,3,0,114,2013-04-24,116,141,2.028,2009,4,5556,29.2421,1.8537223778227772,0,f,19,2012,1.376975904105078,0,NA
